username,player_id,joined,is_active
jbx6,17237000,1463083823,1
jdouglas78,13849442,1447417792,1
jgolf1234,139292674,1662296449,1
jimboki,1808735,1651219219,1
jimcooley3rd,25165804,1650540789,1
jimhig,35717692,1499424442,1
jiriki_longfellow,55415732,1650625645,1
jjmar,7325929,1678217909,1
jm0850,74584980,1664552086,1
jm3333,5777984,1618773897,1
jmedina18,151578683,1673664818,1
jodares,111639056,1652636556,1
jom84,62330959,1661864901,1
jonathansmuggler,40755796,1651919130,1
jonoda,99733834,1659006235,1
jontyroach,142903621,1657144213,1
joss_bartleet,4650023,1675513551,1
jpzheng,6031766,1653644736,1
jsamgd,2177411,1626537410,1
judehardy1,38122236,1680438318,1
julianvillacis,37773182,1550757704,1
kami60,93506485,1666801610,1
kamleein,14174742,1572194767,1
kareemblack,10034440,1655933896,1
kathang_diwa,25379220,1617691803,1
kbrianton,5767651,1671752711,1
kbrownmx,27238588,1655619557,1
kevinilsley,6885937,1407081731,1
kevmokasparov,92795654,1603029132,1
kheopsz,19487152,1554555034,1
kidcharlamegne,5955825,1569870613,1
killerkween,48202140,1602622995,1
kingdomechess,126853100,1690284800,1
kinggkongg,4968937,1609486553,1
kingslayer46,18328108,1451208242,1
kiwikopite,8000184,1532633917,1
kmireland,9239136,1522595461,1
konroh,1351941,1664915458,1
kotov2000,13978996,1625925593,1
ksp4123,68049488,1576084952,1
kuk143,30367086,1650521088,1
lapequenana,126069664,1673875377,1
lardonio,15593106,1656024973,1
layla138,86805774,1661697738,1
lbjon,28636431,1550850680,1
ldnovice,36052648,1499537971,1
lears50,4858095,1421837638,1
leftknight4,5042724,1681485264,1
leonidassparte,147956447,1673853161,1
leoschmoll,49299088,1606096669,1
limeyjoe,12459058,1401735810,1
lincoln_imp,111708366,1637502905,1
lisan99,37027244,1537135067,1
littlemarshmallow,41235904,1535144513,1
ll2308,4256582,1463731089,1
lord_leon,51454028,1657563097,1
lornejustise,40947694,1526908536,1
lostapiece,18384,1385154885,1
lostkiwi5,17414012,1665641837,1
loveless47,158185875,1675339472,1
lufcab,2255969,1661215013,1
luke_one,25103562,1543317383,1
